accuracy,precision,recall,f1,macro_f1,Model,Dataset
0.8777777777777778,0.8148148148148148,0.9777777777777777,0.8888888888888888,0.8765432098765431,TF-IDF,Controlled
0.9888888888888889,1.0,0.9777777777777777,0.9887640449438202,0.9888875169774046,Signal Features,Controlled
0.7116666666666667,0.6918429003021148,0.7633333333333333,0.7258320126782885,0.7108949167082128,TF-IDF,HC3
0.7333333333333333,0.6977401129943502,0.8233333333333334,0.7553516819571865,0.7311556944584467,Signal Features,HC3
0.8311688311688312,0.8512145748987854,0.7948960302457467,0.8220918866080157,0.8307282027920926,TF-IDF,M4
0.5459183673469388,0.5269256987048399,0.7306238185255198,0.6122772277227723,0.5322158382598192,Signal Features,M4
