experiment,accuracy,precision,recall,f1,macro_f1
HC3_to_M4,0.724025974025974,0.7186024551463644,0.719281663516068,0.7189418989135569,0.7239356419396942
M4_to_M4,0.9461966604823747,0.9117132867132867,0.9858223062381852,0.9473206176203451,0.9461721571514048
M4_heldout_chatgpt,0.9221758292739504,0.7720170454545454,0.756437021572721,0.7641476274165202,0.858773584525678
